Type,NSfraction,DN,RF-F/F,RTJ F/F,BW-F/F,RF/RTJ KG,BW KG,Rating,NS,TypeDesc,TypeNum
Vlv8,4,100,64,,,32,,600,4,Lug type Valve,
Vlv8,6,150,78,,,68,,600,6,Lug type Valve,
Vlv8,8,200,102,,,137,,600,8,Lug type Valve,
Vlv8,10,250,117,,,248,,600,10,Lug type Valve,
Vlv8,12,300,140,,,357,,600,12,Lug type Valve,
Vlv8,14,350,155,,,521,,600,14,Lug type Valve,
Vlv8,16,400,178,,,654,,600,16,Lug type Valve,
Vlv8,18,450,200,,,798,,600,18,Lug type Valve,
Vlv8,20,500,216,,,944,,600,20,Lug type Valve,
Vlv8,24,600,232,,,1125,,600,24,Lug type Valve,
VLV5,5,125,400,416,400,87,72,300,5,Flanged Swing check Valve,
VLV5,6,150,444,460,444,136,112,300,6,Flanged Swing check Valve,
VLV5,8,200,533,549,533,221,181,300,8,Flanged Swing check Valve,
VLV5,10,250,622,638,622,400,327,300,10,Flanged Swing check Valve,
VLV5,12,300,711,727,711,471,382,300,12,Flanged Swing check Valve,
VLV5,14,350,838,854,838,708,578,300,14,Flanged Swing check Valve,
VLV5,16,400,864,880,864,876,714,300,16,Flanged Swing check Valve,
VLV5,18,450,978,994,978,1069,872,300,18,Flanged Swing check Valve,
VLV5,20,500,1016,1035,1016,1366,1122,300,20,Flanged Swing check Valve,
VLV5,22,550,1118,1140,1118,1600,1350,300,22,Flanged Swing check Valve,
VLV5,24,600,1346,1368,1346,2036,1666,300,24,Flanged Swing check Valve,
VLV5,26,650,1346,1371,1346,2462,1998,300,26,Flanged Swing check Valve,
VLV5,28,700,1499,1524,1499,2925,2380,300,28,Flanged Swing check Valve,
VLV5,30,750,1594,1619,1594,3423,2780,300,30,Flanged Swing check Valve,
VLV5,18,450,978,991,978,804,667,150,18,Flanged Swing check Valve,
VLV5,20,500,978,991,978,861,710,150,20,Flanged Swing check Valve,
VLV5,22,550,1067,1080,1067,1580,1343,150,22,Flanged Swing check Valve,
VLV5,24,600,1295,1308,1295,1614,1343,150,24,Flanged Swing check Valve,
VLV5,26,650,1295,1295,1295,1847,1530,150,26,Flanged Swing check Valve,
VLV5,28,700,1448,1448,1448,1956,1615,150,28,Flanged Swing check Valve,
VLV5,30,750,1524,1524,1524,2178,1802,150,30,Flanged Swing check Valve,
VLV5,32,800,,,,2596,2125,150,32,Flanged Swing check Valve,
VLV5,34,850,,,,3011,2465,150,34,Flanged Swing check Valve,
VLV5,36,900,1956,1956,1956,3459,2843,150,36,Flanged Swing check Valve,
VLV5,0+1/2,15,,,,6,5,300,0.5,Flanged Swing check Valve,
VLV5,0+3/4,20,,,,8,6,300,0.75,Flanged Swing check Valve,
VLV5,1,25,216,229,216,11,9,300,1,Flanged Swing check Valve,
VLV5,1+1/4,32,229,242,229,15,12,300,1.5,Flanged Swing check Valve,
